GEORGE_DEMAND.TXT	High-demand split-training cycle (launches, WOT, stop-go)
Test Time, secs	Target Speed, mph
0	0.00
1	0.00
2	0.00
3	0.00
4	0.00
5	0.00
6	0.00
7	0.00
8	0.00
9	6.70
10	13.39
11	20.09
12	26.79
13	33.49
14	40.18
15	46.88
16	53.58
17	60.27
18	60.27
19	60.27
20	60.27
21	60.27
22	60.27
23	60.27
24	60.27
25	60.27
26	60.27
27	60.27
28	52.74
29	45.20
30	37.67
31	30.14
32	22.60
33	15.07
34	7.53
35	0.00
36	0.00
37	0.00
38	0.00
39	0.00
40	0.00
41	8.61
42	17.22
43	25.83
44	34.44
45	43.05
46	51.66
47	60.27
48	60.27
49	60.27
50	60.27
51	60.27
52	60.27
53	60.27
54	60.27
55	60.27
56	62.26
57	64.25
58	66.24
59	68.23
60	70.22
61	72.20
62	74.19
63	76.18
64	78.17
65	80.16
66	80.16
67	80.16
68	80.16
69	80.16
70	80.16
71	80.16
72	80.16
73	80.16
74	72.14
75	64.13
76	56.11
77	48.09
78	40.08
79	32.06
80	24.05
81	16.03
82	8.02
83	0.00
84	0.00
85	0.00
86	0.00
87	0.00
88	0.00
89	6.21
90	12.43
91	18.64
92	24.85
93	31.07
94	37.28
95	37.28
96	37.28
97	37.28
98	37.28
99	29.83
100	22.37
101	14.91
102	7.46
103	0.00
104	0.00
105	0.00
106	0.00
107	0.00
108	6.21
109	12.43
110	18.64
111	24.85
112	31.07
113	37.28
114	37.28
115	37.28
116	37.28
117	37.28
118	29.83
119	22.37
120	14.91
121	7.46
122	0.00
123	0.00
124	0.00
125	0.00
126	0.00
127	6.21
128	12.43
129	18.64
130	24.85
131	31.07
132	37.28
133	37.28
134	37.28
135	37.28
136	37.28
137	29.83
138	22.37
139	14.91
140	7.46
141	0.00
142	0.00
143	0.00
144	0.00
145	0.00
146	6.21
147	12.43
148	18.64
149	24.85
150	31.07
151	37.28
152	43.50
153	49.71
154	49.71
155	49.71
156	49.71
157	49.71
158	49.71
159	49.71
160	49.71
161	49.71
162	49.71
163	49.71
164	49.71
165	49.71
166	53.85
167	57.99
168	62.14
169	66.28
170	70.42
171	74.56
172	74.56
173	74.56
174	74.56
175	74.56
176	74.56
177	74.56
178	74.56
179	74.56
180	74.56
181	74.56
182	69.59
183	64.62
184	59.65
185	54.68
186	49.71
187	44.74
188	39.77
189	34.80
190	29.83
191	24.85
192	30.03
193	35.21
194	40.39
195	45.57
196	50.75
197	55.92
198	55.92
199	55.92
200	55.92
201	55.92
202	55.92
203	55.92
204	55.92
205	55.92
206	50.33
207	44.74
208	39.15
209	33.55
210	27.96
211	22.37
212	16.78
213	11.18
214	5.59
215	0.00
216	0.00
217	0.00
218	0.00
219	0.00
220	0.00
221	0.00
